Year,School,Coach,Conference,Salary,Season,Wins,Losses,WinPercentage,Location,Capacity,GSR
2015,Washington State,Mike Leach,Pac12,"2,750,000.00",2014,3,9,25,"Pullman, Washington",35117,56
2019,Washington State,Mike Leach,Pac12,"3,500,000.00",2018,6,7,46,"Pullman, Washington",35117,56
2017,Washington State,Mike Leach,Pac12,"2,950,000.00",2016,8,5,62,"Pullman, Washington",35117,56
2016,Washington State,Mike Leach,Pac12,"2,750,000.00",2015,9,4,69,"Pullman, Washington",35117,56
2018,Washington State,Mike Leach,Pac12,"3,075,000.00",2017,9,4,69,"Pullman, Washington",35117,56
2020,Washington State,Nick Rolovich,Pac12,"3,020,000.00",2019,1,3,25,"Pullman, Washington",35117,56
2019,West Virginia,Dana Holgorsen,Big12,"3,605,000.00",2018,5,7,42,"Morgantown, West Virginia",60000,60
2015,West Virginia,Dana Holgorsen,Big12,"3,080,000.00",2014,7,6,54,"Morgantown, West Virginia",60000,60
2018,West Virginia,Dana Holgorsen,Big12,"3,505,000.00",2017,7,6,54,"Morgantown, West Virginia",60000,60
2016,West Virginia,Dana Holgorsen,Big12,"2,880,000.00",2015,8,5,62,"Morgantown, West Virginia",60000,60
2017,West Virginia,Dana Holgorsen,Big12,"3,605,000.00",2016,10,3,77,"Morgantown, West Virginia",60000,60
2020,West Virginia,Neal Brown,Big12,"3,105,000.00",2019,6,4,60,"Morgantown, West Virginia",60000,60
2015,Western Kentucky,Jeff Brohm,CUSA,"600,000.00",2014,8,5,62,"Bowling Green, Kentucky",22000,55
2017,Western Kentucky,Jeff Brohm,CUSA,"805,600.00",2016,11,3,79,"Bowling Green, Kentucky",22000,55
2016,Western Kentucky,Jeff Brohm,CUSA,"610,800.00",2015,12,2,87,"Bowling Green, Kentucky",22000,55
2018,Western Kentucky,Mike Sanford Jr.,CUSA,"800,000.00",2017,6,7,46,"Bowling Green, Kentucky",22000,55
2019,Western Kentucky,Mike Sanford Jr.,CUSA,"800,000.00",2018,9,4,69,"Bowling Green, Kentucky",22000,55
2020,Western Kentucky,Tyson Helton,CUSA,"800,000.00",2019,5,7,42,"Bowling Green, Kentucky",22000,55
2015,Western Michigan,P.J. Fleck,MAC,"392,500.00",2014,8,5,62,"Kalamazoo, Michigan",30200,54
2016,Western Michigan,P.J. Fleck,MAC,"800,000.00",2015,8,5,62,"Kalamazoo, Michigan",30200,54
2017,Western Michigan,P.J. Fleck,MAC,"800,000.00",2016,13,1,93,"Kalamazoo, Michigan",30200,54
2018,Western Michigan,Tim Lester,MAC,"800,000.00",2017,6,6,50,"Kalamazoo, Michigan",30200,54
2019,Western Michigan,Tim Lester,MAC,"800,000.00",2018,7,6,54,"Kalamazoo, Michigan",30200,54
2020,Western Michigan,Tim Lester,MAC,"800,000.00",2019,4,2,67,"Kalamazoo, Michigan",30200,54
2015,Wisconsin,Gary Andersen,BigTen,"2,200,000.00",2014,11,3,79,"Madison, Wisconsin",80321,72
2020,Wisconsin,Paul Chryst,BigTen,"4,250,000.00",2019,4,3,57,"Madison, Wisconsin",80321,72
2019,Wisconsin,Paul Chryst,BigTen,"3,750,000.00",2018,10,4,71,"Madison, Wisconsin",80321,72
2016,Wisconsin,Paul Chryst,BigTen,"2,300,000.00",2015,10,3,77,"Madison, Wisconsin",80321,72
2017,Wisconsin,Paul Chryst,BigTen,"2,700,000.00",2016,11,3,79,"Madison, Wisconsin",80321,72
2018,Wisconsin,Paul Chryst,BigTen,"3,200,000.00",2017,13,1,93,"Madison, Wisconsin",80321,72
2016,Wyoming,Craig Bohl,MtWest,"909,000.00",2015,2,10,17,"Laramie, Wyoming",29181,47
2015,Wyoming,Craig Bohl,MtWest,"832,000.00",2014,4,8,33,"Laramie, Wyoming",29181,47
2020,Wyoming,Craig Bohl,MtWest,"1,512,000.00",2019,2,4,33,"Laramie, Wyoming",29181,47
2017,Wyoming,Craig Bohl,MtWest,"1,412,000.00",2016,8,6,57,"Laramie, Wyoming",29181,47
2018,Wyoming,Craig Bohl,MtWest,"1,412,000.00",2017,8,5,62,"Laramie, Wyoming",29181,47
2019,Wyoming,Craig Bohl,MtWest,"1,412,000.00",2018,8,5,62,"Laramie, Wyoming",29181,47
