Year,School,Coach,Conference,Salary,Season,Wins,Losses,WinPercentage,Location,Capacity,GSR
2018,Florida Atlantic,Lane Kiffin,CUSA,"950,000.00",2017,11,3,79,"Boca Raton, Florida",20450,58
2019,Florida Atlantic,Lane Kiffin,CUSA,"1,000,000.00",2018,11,3,79,"Boca Raton, Florida",20450,58
2020,Florida Atlantic,Willie Taggart,CUSA,"750,000.00",2019,5,4,56,"Boca Raton, Florida",20450,58
2020,Florida International,Butch Davis,CUSA,"1,041,863.00",2019,0,5,0,"Miami, Florida",23500,60
2019,Florida International,Butch Davis,CUSA,"945,000.00",2018,6,7,46,"Miami, Florida",23500,60
2018,Florida International,Butch Davis,CUSA,"900,000.00",2017,8,5,62,"Miami, Florida",23500,60
2015,Florida International,Ron Turner,CUSA,"550,000.00",2014,4,8,33,"Miami, Florida",23500,60
2017,Florida International,Ron Turner,CUSA,"609,731.00",2016,4,8,33,"Miami, Florida",23500,60
2016,Florida International,Ron Turner,CUSA,"604,190.00",2015,5,7,42,"Miami, Florida",23500,60
2018,Florida State,Jimbo Fisher,ACC,"5,700,000.00",2017,7,6,54,"Tallahassee, Florida",82300,52
2016,Florida State,Jimbo Fisher,ACC,"5,150,000.00",2015,10,3,77,"Tallahassee, Florida",82300,52
2017,Florida State,Jimbo Fisher,ACC,"5,250,000.00",2016,10,3,77,"Tallahassee, Florida",82300,52
2015,Florida State,Jimbo Fisher,ACC,"3,591,667.00",2014,13,1,93,"Tallahassee, Florida",82300,52
2020,Florida State,Mike Norvell,ACC,"4,000,000.00",2019,3,6,33,"Tallahassee, Florida",82300,52
2019,Florida State,Willie Taggart,ACC,"5,000,000.00",2018,6,7,46,"Tallahassee, Florida",82300,52
2019,Fresno State,Jeff Tedford,MtWest,"1,550,000.00",2018,4,8,33,"Fresno, California",41031,69
2018,Fresno State,Jeff Tedford,MtWest,"1,550,000.00",2017,10,4,71,"Fresno, California",41031,69
2020,Fresno State,Kalen DeBoer,MtWest,"1,300,000.00",2019,3,3,50,"Fresno, California",41031,69
2017,Fresno State,Tim DeRuyter,MtWest,"1,518,480.00",2016,1,11,8,"Fresno, California",41031,69
2016,Fresno State,Tim DeRuyter,MtWest,"1,457,745.00",2015,3,9,25,"Fresno, California",41031,69
2015,Fresno State,Tim DeRuyter,MtWest,"1,400,000.00",2014,6,8,43,"Fresno, California",41031,69
2017,Georgia,Kirby Smart,SEC,"3,753,600.00",2016,8,5,62,"Athens, Georgia",92746,42
2020,Georgia,Kirby Smart,SEC,"6,803,600.00",2019,8,2,80,"Athens, Georgia",92746,42
2019,Georgia,Kirby Smart,SEC,"6,603,600.00",2018,12,2,86,"Athens, Georgia",92746,42
2018,Georgia,Kirby Smart,SEC,"3,753,600.00",2017,13,2,87,"Athens, Georgia",92746,42
2015,Georgia,Mark Richt,SEC,"3,200,000.00",2014,10,3,77,"Athens, Georgia",92746,42
2016,Georgia,Mark Richt,SEC,"4,000,000.00",2015,10,3,77,"Athens, Georgia",92746,42
2019,Georgia Southern,Chad Lunsford,SunBelt,"650,000.00",2018,7,6,54,"Statesboro, Georgia",24300,50
2020,Georgia Southern,Chad Lunsford,SunBelt,"680,000.00",2019,8,5,62,"Statesboro, Georgia",24300,50
2018,Georgia Southern,Tyson Summers,SunBelt,"530,000.00",2017,2,10,17,"Statesboro, Georgia",24300,50
2017,Georgia Southern,Tyson Summers,SunBelt,"500,000.00",2016,5,7,42,"Statesboro, Georgia",24300,50
2016,Georgia Southern,Willie Fritz,SunBelt,"500,000.00",2015,9,4,69,"Statesboro, Georgia",24300,50
2015,Georgia Southern,Willie Fritz,SunBelt,"400,000.00",2014,9,3,75,"Statesboro, Georgia",24300,50
2019,Georgia State,Shawn Elliott,SunBelt,"569,000.00",2018,7,6,54,"Atlanta, Georgia",24333,71
2018,Georgia State,Shawn Elliott,SunBelt,"565,000.00",2017,7,5,58,"Atlanta, Georgia",24333,71
2020,Georgia State,Shawn Elliott,SunBelt,"604,800.00",2019,6,4,60,"Atlanta, Georgia",24333,71
2015,Georgia State,Trent Miles,SunBelt,"510,000.00",2014,1,11,8,"Atlanta, Georgia",24333,71
2017,Georgia State,Trent Miles,SunBelt,"537,405.00",2016,3,9,25,"Atlanta, Georgia",24333,71
2016,Georgia State,Trent Miles,SunBelt,"523,500.00",2015,6,7,46,"Atlanta, Georgia",24333,71
